survived,pclass,sex,age,sibsp,parch,fare,embarked,who,deck,alone,family_size,has_family,is_minor,age_group,fare_per_person,fare_tier,cabin_known,is_female,emb_C,emb_Q,emb_S,log_fare,age_z,fare_z
0,3,male,22.0,1,0,7.25,S,man,Unknown,False,2,1,0,Adult,3.625,Low,0,0,0,0,1,2.11,-0.532,-0.567
1,1,female,38.0,1,0,71.2833,C,woman,C,False,2,1,0,Adult,35.64165,Premium,1,1,1,0,0,4.281,0.669,0.988
1,3,female,26.0,0,0,7.925,S,woman,Unknown,True,1,0,0,Adult,7.925,Mid,0,1,0,0,1,2.189,-0.232,-0.55
1,1,female,35.0,1,0,53.1,S,woman,C,False,2,1,0,Adult,26.55,Premium,1,1,0,0,1,3.991,0.444,0.547
0,3,male,35.0,0,0,8.05,S,man,Unknown,True,1,0,0,Adult,8.05,Mid,0,0,0,0,1,2.203,0.444,-0.547
0,3,male,25.0,0,0,8.4583,Q,man,Unknown,True,1,0,0,Adult,8.4583,Mid,0,0,0,1,0,2.247,-0.307,-0.537
0,1,male,54.0,0,0,51.8625,S,man,E,True,1,0,0,Adult,51.8625,Premium,1,0,0,0,1,3.968,1.87,0.517
0,3,male,2.0,3,1,21.075,S,child,Unknown,False,5,1,1,Child,4.215,High,0,0,0,0,1,3.094,-2.034,-0.231
1,3,female,27.0,0,2,11.1333,S,woman,Unknown,False,3,1,0,Adult,3.7111,Mid,0,1,0,0,1,2.496,-0.157,-0.472
1,2,female,14.0,1,0,30.0708,C,child,Unknown,False,2,1,1,Teen,15.0354,High,0,1,1,0,0,3.436,-1.133,-0.012
1,3,female,4.0,1,1,16.7,S,child,G,False,3,1,1,Child,5.566666666666666,High,1,1,0,0,1,2.874,-1.883,-0.337
1,1,female,58.0,0,0,26.55,S,woman,C,True,1,0,0,Adult,26.55,High,1,1,0,0,1,3.316,2.17,-0.098
0,3,male,20.0,0,0,8.05,S,man,Unknown,True,1,0,0,Adult,8.05,Mid,0,0,0,0,1,2.203,-0.682,-0.547
0,3,male,39.0,1,5,31.275,S,man,Unknown,False,7,1,0,Adult,4.4678571428571425,Premium,0,0,0,0,1,3.474,0.744,0.017
0,3,female,14.0,0,0,7.8542,S,child,Unknown,True,1,0,1,Teen,7.8542,Low,0,1,0,0,1,2.181,-1.133,-0.552
1,2,female,55.0,0,0,16.0,S,woman,Unknown,True,1,0,0,Adult,16.0,High,0,1,0,0,1,2.833,1.945,-0.354
0,3,male,2.0,4,1,29.125,Q,child,Unknown,False,6,1,1,Child,4.854166666666667,High,0,0,0,1,0,3.405,-2.034,-0.035
1,2,male,30.0,0,0,13.0,S,man,Unknown,True,1,0,0,Adult,13.0,Mid,0,0,0,0,1,2.639,0.068,-0.427
0,3,female,31.0,1,0,18.0,S,woman,Unknown,False,2,1,0,Adult,9.0,High,0,1,0,0,1,2.944,0.143,-0.306
1,3,female,21.5,0,0,7.225,C,woman,Unknown,True,1,0,0,Adult,7.225,Low,0,1,1,0,0,2.107,-0.57,-0.567
0,2,male,35.0,0,0,26.0,S,man,Unknown,True,1,0,0,Adult,26.0,High,0,0,0,0,1,3.296,0.444,-0.111
1,2,male,34.0,0,0,13.0,S,man,D,True,1,0,0,Adult,13.0,Mid,1,0,0,0,1,2.639,0.368,-0.427
1,3,female,15.0,0,0,8.0292,Q,child,Unknown,True,1,0,1,Teen,8.0292,Mid,0,1,0,1,0,2.2,-1.058,-0.548
